Site,Sku (Sykes),Sku (Magento),Product Title,Stock,Product Type,Size,Format,Cover,Material,Colour
Consumer,BB8984,8984,Baby B - Milestone Cards (Blue),1455,Planners & Organisers,Small,,,Paper,Blue
Consumer,BB9554,9554,Busy Life Calendar,1434,Calendars,Medium,Month to View,,Paper,Blue
Consumer,BB9783,9783,Meal Planner ,1395,Planners & Organisers,Medium,,Soft Cover,Paper,Multi
Consumer,BB2050,2050,Bride to B - Wedding To Do's,1391,Notebook,Medium,,Hard Cover,Paper,White
Consumer,BB9707,9707,Pocket Diary,1367,Diaries,Small,Week to View,Soft Cover,Faux Leather,Grey
Consumer,BB0386,0386,Undated Planner ,1366,Planners & Organisers,Medium,,Hard Cover,Faux Leather,Navy
Consumer,BB8816,8816,Busy B - Stylus Pen (Safari Nights),1328,Pens & Pencils,Small,,,Plastic,Multi
Consumer,BB8847,8847,Busy B - Vehicle Document File (Safari Nights),1315,Planners & Organisers,Large,,Hard Cover,Paper,White
Consumer,BB8724,8724,Busy B - Card Overspill Book (Safari Nights),1310,Planners & Organisers,Small,,,Faux Leather,Blue
Consumer,BB9837,9837,Rollerball Pens ,1306,Pens & Pencils,Small,,,Plastic,Multi
Consumer,BB9073,9073,Busy B - Busy Life Notebook - A5 Red,1248,Notebook,Medium,,Hard Cover,Faux Leather,Red
Consumer,BB4450,4450,Bride to B - Wedding Guest Book (Script),1240,Planners & Organisers,Large,,Hard Cover,Paper,White
Consumer,BB8991,8991,Baby B - Milestone Cards (Pink),1233,Planners & Organisers,Small,,,Paper,Pink
Consumer,BB6775,6775,Bride to B - Heart Stickers,1231,Stickers & Notes,Small,,,,Gold
Consumer,BB8748,8748,Busy B - Address & Birthday Book (Safari Nights),1196,Planners & Organisers,Small,,Hard Cover,Faux Leather,Pink
Consumer,BB8694,8694,Busy B - Currency Purse (Safari Nights),1194,Purses & Wallets,Medium,,,Faux Leather,Blue
